DATA,CDI_NI,PTAX,IBOV,IRF-M,IMA-S,IMA-C,IMA-B,IMA-B 5,IMA-B 5+,IRF-M 1,IRF-M 1+
2009-09-29,8.701941864326743,1.7928,61235.0,4195.884483,1790.387101,1979.694671,2005.766073,1926.484183,2225.150852,4123.465639,4328.655432
2009-09-30,8.704788008452308,1.7781,61518.0,4195.063759,1790.976213,1979.224707,2004.38254,1926.932041,2221.705547,4124.802854,4326.382938
2009-10-01,8.707638304237795,1.7794,60459.0,4193.423819,1791.565761,1979.328344,2002.51156,1926.08905,2218.604072,4125.743591,4322.993243
2009-10-02,8.710495889900097,1.7844,61172.0,4202.796229,1792.154919,1982.641245,2005.316078,1928.719235,2221.7836,4127.642711,4336.538693
2009-10-05,8.713354413336285,1.7673,62369.0,4206.805922,1792.744521,1985.789692,2005.648775,1929.97226,2221.148938,4129.4547,4341.791519
2009-10-06,8.716213874854109,1.7533,62671.0,4207.510346,1793.334893,1987.623951,2000.483827,1929.278445,2210.830827,4130.137219,4342.523245
2009-10-07,8.71907427476142,1.7595,62638.0,4207.454945,1793.925456,1988.417354,1995.696064,1929.386136,2200.458835,4130.875838,4342.049976
2009-10-08,8.721935613366169,1.7412,63760.0,4204.439883,1794.515681,1989.687434,1987.476851,1928.23182,2184.060557,4131.817714,4336.891049
2009-10-09,8.72479466386023,1.7389,64071.0,4204.786484,1795.10667,1990.360982,1987.233311,1928.654781,2183.081063,4132.906173,4336.856176
2009-10-13,8.727654651551044,1.7298,64646.0,4205.280337,1795.697232,1991.559089,1987.683644,1929.53028,2183.102339,4134.489116,4336.796117
2009-10-14,8.730515576745821,1.7099,66201.0,4211.210144,1796.288181,1992.308384,1988.459729,1930.428531,2183.798289,4136.346735,4344.972313
2009-10-15,8.733377439751878,1.7037,66703.0,4207.467139,1796.879645,1993.21083,1986.285549,1930.189823,2179.389071,4137.489197,4338.610278
2009-10-16,8.73624024087663,1.7135,66200.0,4206.20609,1797.47089,1995.706826,1981.168582,1930.441849,2168.133163,4139.512608,4335.616787
2009-10-19,8.739107212836478,1.713,67239.0,4198.207514,1798.062508,1996.613834,1974.007162,1929.26433,2154.032421,4140.68145,4322.70827
2009-10-20,8.741975125650514,1.745,65303.0,4204.113159,1798.654475,1998.384132,1977.482174,1930.541899,2160.112114,4142.40343,4330.905556
2009-10-21,8.744843979627499,1.744,65486.0,4208.584851,1799.247407,1998.300972,1980.077513,1932.692787,2163.360541,4144.097929,4336.910928
